Měsíc,Platba,Plátce,Příjemce,Částka (Kč),Důvod platby,Zdroj
2014-11,2014-12-09,Praha,Adam Zábranský,2335,paušální odměna,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/11/adam/vycetka.docx?raw=true
2014-11,2014-12-09,Praha,Adam Zábranský,809,zdravotní pojištění z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/11/adam/vycetka.docx?raw=true
2014-11,2014-12-09,Praha,Adam Zábranský,630,záloha na daň z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/11/adam/vycetka.docx?raw=true
2014-11,2015-04-30,Praha,Jakub Michálek,2700,náhrada výdělku,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/11/jakub/vycetka_signed.pdf
2014-11,2015-01-26,Praha,Mikuláš Ferjenčík,3150,náhrada výdělku,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/11/miki/vycetka.docx?raw=true
2014-11,2015-02-27,Praha,Ondřej Profant,3150,náhrada výdělku,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/11/ondra/vycetka.docx?raw=true
2014-11,2015-02-27,Praha,Adam Zábranský,3150,náhrada výdělku,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/11/adam/vycetka.docx?raw=true
2014-11,2014-12-09,Pirati,Jakub Michálek,4816,pevná část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/11/adam/vycetka.docx?raw=true
2014-11,2014-12-09,Pirati,Jakub Michálek,5000,proměnlivá část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/11/adam/vycetka.docx?raw=true
2014-11,2014-12-09,Pirati,Mikuláš Ferjenčík,4618,pevná část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/11/adam/vycetka.docx?raw=true
2014-11,2014-12-09,Pirati,Mikuláš Ferjenčík,2500,proměnlivá část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/11/adam/vycetka.docx?raw=true
2014-11,2014-12-09,Pirati,Ondřej Profant,4618,pevná část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/11/adam/vycetka.docx?raw=true
