Příspěvková organizace,Činnost,Rozpočet 2015 (v tis. Kč)
ŠJ LOUČANSKÁ         P5,Školní stravování při předšk.a zákl.vzdělávání,2 394
ŠJ ZBRASLAV          P5,Školní stravování při předšk.a zákl.vzdělávání,2 388
MŠ BAJKALSKÁ        P10,Předškolní zařízení,2 384
MŠ PRAHA LOCHKOV,Předškolní zařízení,2 318
MŠ NAD KAZANKOU,Předškolní zařízení,2 190
MŠ CHARLESE DE GAULLA,Předškolní zařízení,2 145
MŠ BUKOVÁ            P3,Předškolní zařízení,2 111
MŠ BŘEZINĚVES,Předškolní zařízení,2 098
ŠJ ZLATNICKÁ         P1,Školní stravování při předšk.a zákl.vzdělávání,2 093
ŠJ VOJTĚŠSKÁ         P1,Školní stravování při předšk.a zákl.vzdělávání,1 654
ŠJ JINDŘIŠSKÁ        P1,Školní stravování při předšk.a zákl.vzdělávání,1 519
ŠJ KARMELITSKÁ       P1,Školní stravování při předšk.a zákl.vzdělávání,1 323
SARAP P3,Školní stravování při předšk.a zákl.vzdělávání,1 022
CENTR.LÉČ.REHABILITACE,Specializovaná ambulantní zdravotní péče,688
