Měsíc,Jakub Michálek,Mikuláš Ferjenčík,Ondřej Profant,Adam Zábranský
2014-10,1392,1853,1853,1392
2014-11,2335,2974,2974,2335
2014-12,4192,4912,4912,3760
2015-01,4192,4192,4192,3665
2015-02,4192,4192,4192,3665
2015-03,4192,4192,4192,3665
2015-04,4192,4192,4192,3665
2015-05,4339,4339,4339,3837
2015-06,4339,4339,4339,3837
2015-07,4339,4339,4339,3837
2015-08,4339,4339,4339,3837
2015-09,4339,4339,4339,3837
