Měsíc,Jakub Michálek,Mikuláš Ferjenčík,Ondřej Profant,Adam Zábranský
2014-11,2700,3150,3150,3150
2014-12,18000,4050,18000,4500
2015-01,18000,5099,18000,8270
2015-02,15300,10238,18000,14648
2015-03,,6525,18000,5625
