Měsíc,Jakub Michálek,Mikuláš Ferjenčík,Ondřej Profant,Adam Zábranský
2014-11,4816,4618,4618,
2014-12,8500,7517,8500,8500
2015-01,8500,5980,8500,7498
2015-02,8500,4769,8500,8500
2015-03,8500,7090,8500,6703
2015-04,8500,7273,8500,7110
2015-05,8500,8500,8500,7807
2015-06,8500,4665,8500,6893
2015-07,8500,4403,6459,3110
2015-08,8500,8500,6735,7201
2015-09,8500,7855,7100,8300
