11/2015, 15192
12/2015, 35088
1/2016, 23107
2/2016, 15475
3/2016, 15839
4/2016, 28000
5/2016, 15631
6/2016, 15856
7/2016, 29255
8/2016, 17322
9/2016, 16922
10/2016, 29592
11/2016, 16458
23/2016, 33195
