IČO,Název,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total Result,kolikrát dostali dotaci
26551365,Tenisový klub SPORT AKTIV,,,,,0,,,800 000,0,,,,,,800 000,1
26675010,Auto klub Markéta při PSK Olymp Praha,,,,,800 000,,,,,,,,,,800 000,1
44849699,LTC RADOTÍN - TENISOVÝ a BASKETBALOVÝ KLUB,,,,,,,,,300 000,500 000,,,,,800 000,2
49629794,Dámský házenkářský klub DHC Slavia Praha,,,,,,,,,,,800 000,,,,800 000,1
61065439,Plavecké sporty Slavia Praha s.r.o.,,500 000,,,300 000,,,,,,,,,,800 000,2
62908898,Sportcentrum Horní Počernice,800 000,,,,,,,,,,,,,,800 000,1
197386,Tělocvičná jednota Sokol Michle,,,,,400 000,,,,,,,,300 000,,700 000,2
536628,Tělocvičná jednota Sokol Libeň,,,,,,,,,700 000,,,,,,700 000,1
537667,SPORTOVNÍ KLUB ČECHIE SMÍCHOV,,,,,,,,,,700 000,,,,,700 000,1
538817,SK Oaza Praha,,,,,0,,,,0,100 000,,,,600 000,700 000,2
540145,Veslařský klub Blesk              P,0,,,,,,,,,700 000,,,,,700 000,1
541664,Tělovýchovná jednota Malešice,,,,,0,,,700 000,0,,,,,,700 000,1
71575006,VK Blesk,,,,,,,,700 000,,,,,,,700 000,1
26675013,Auto klub Markéta při PSK Olymp Praha,,,,,,,,,0,0,660 000,,,,660 000,1
499498,YMCA v České republice,,,,,,,,,,,650 000,,,,650 000,1
27904989,Infinit s.r.o.,,,,,,,,,,,,,,600 000,600 000,1
44266715,TĚLOCVIČNÁ JEDNOTA SOKOL SPOŘILOV-ROZTYLY,,,,,,,,,600 000,,,,,,600 000,1
45246009,Tělocvičná jednota Sokol Praha - Břevnov,,,,,,,,,,,,,,600 000,600 000,1
45248656,Tělocvičná jednota Sokol Kunratice,,,,,,,,,,600 000,,,,,600 000,1
49626281,ČESKÝ SVAZ CYKLISTIKY,,,,,,,,,,,,600 000,,,600 000,1
66004021,Tělocvičná jednota Sokol Petrovice I. /začleněna do ČOS/,,,,,,,,,,300 000,,,,300 000,600 000,2
569488,"Tělocvičná jednota Sokol Nusle Praha, reg.č.31040518",,,,,200 000,,,100 000,250 000,0,,,,,550 000,3
216208,Univerzita Karlova v Praze,,,,,,,,,,,,,500 000,,500 000,1
539104,Tělovýchovná jednota Pankrác,,,,,,,,,0,500 000,,,,,500 000,1
549517,TJ Sokol Zbraslav,,,,,,,,500 000,,,,,,,500 000,1
674842,Tělovýchovná jednota Slovan Bohnice - Praha 8 o.s.,,,,,,,,,,100 000,400 000,,,,500 000,2
14888335,Sdruž. hokejbal. mužstev Pha,500 000,,,,,,,,,,,,,,500 000,1
22755594,Sportovní klub Kbely,,,,,,,,,,,,,500 000,,500 000,1
26649225,Jezdecký klub KolodČje,,,,,,,,,,,,500 000,,,500 000,1
27903125,"Sportareál Praha - Satalice, s.r.o.",,,,,,,,,,,,,,500 000,500 000,1
45771588,A.F.K. Olympia Šeberov,,,,,,,,0,500 000,,,,,,500 000,1
61466921,Tradeco - Praha s.r.o.,,,,,,,,,,,,,500 000,,500 000,1
61860875,HC Sparta Praha - hokej o.s.,,,,,500 000,,,,,,,,,,500 000,1
63075482,"MYSTIC SKATES, spol. s r.o.",,,,,,,,,,500 000,,,,,500 000,1
63108798,Tělocvičná jednota Sokol Čimice,,,,,,,,,,,,,500 000,,500 000,1
65398076,Hockey club Hostivař,0,,,,,,,,,,500 000,,,,500 000,1
69781460,SK Spectrum Praga,500 000,,,,,,,,,,,,,,500 000,1
70104565,Yacht club CERE                 P,500 000,,,,,,,,,,,,,,500 000,1
70951225,Pražský veslařský svaz          P,500 000,,,,,,,,,,,,,,500 000,1
537462,"Tělovýchovná jednota Kotva
Braník",,,,,,,,,,,,,,400 000,400 000,1
26651718,Tenis Cibulka,,,,,,,,,,,,400 000,,,400 000,1
62938045,"TJ HÁJE-JIŽNÍ MĚSTO,HANDBALLCLUB",,,,,,,,,,,400 000,,,,400 000,1
65995074,Tenisový klub Neridé,,,,,400 000,,,,,,,,,,400 000,1
43874533,"TĚLOCVIČNÁ JEDNOTA SOKOL PRAHA STŘEŠOVICE, ČOS",,,,,,,,,390 000,,,,,,390 000,1
45249504,TJ Sokol Dolní Počernice,0,,,,0,,,,,,,350 000,,,350 000,1
537730,Český svaz kanoistů,,,,,,,,,,,300 000,,,,300 000,1
549673,T.J. Sokol Liboc,,,,,,,,,,0,,,,300 000,300 000,1
2278120,TSM SOKOL VYSOČANY,,,,,,,,,,,,,,300 000,300 000,1
26479974,"Relax Sport Centrum Zbraslav, a.s.",,,,,,,,,,,,,,300 000,300 000,1
26993074,Českomoravský Kriketový Svaz,,,,,,,,,,,,,,300 000,300 000,1
27000273,HBC Hostivař,,,,,,,,,,,300 000,,,,300 000,1
41195892,TJ Sokol Lipence,,,,,300 000,,,,,,,,,,300 000,1
45247421,"SC PRAHA-CENTRUM
SPORTOVNÍHO ŠERMU o.s.",,,,,,,,,,,,300 000,,,300 000,1
48037826,FK Admira Slavoj,300 000,,,,,,,,,,,,,,300 000,1
61381616,TJ Sokol Stodůlky,,,,,,,,,,,,,,300 000,300 000,1
63834014,Tenisový klub Konstruktiva,,,,,,,,300 000,,,,,,,300 000,1
65400071,TJ Sokol Cholupice,,,,,,,,300 000,,,,,,,300 000,1
231151,FK Tempo Praha,250 000,,,,,,,,,,,,,,250 000,1
26613298,Jezdecký Klub Cholupice,,,,,,,,,,,250 000,,,,250 000,1
27050394,"Aikido Karlín, o.s.",,,,,,,,,,0,250 000,,,,250 000,1
40767086,Školní sportovní klub pĜi základní škole,,,,,,,,,,,,250 000,,,250 000,1
49626565,Atletický sportovní klub Slavia Praha,,,,,150 000,,,100 000,,,,,,,250 000,2
61501352,Squashcentrum Strahov s.r.o.,,,,,,,,,250 000,0,,,,,250 000,1
70851204,Tělocvičná jednota SOKOL Praha - Strašnice,,,,,,,,,250 000,,,,,,250 000,1
63833867,Kuželkář. klub Konstruktiva Praha,240 000,,,,0,,,,,,,,,,240 000,1
15269086,Tělovýchovná jednota Praha-Podolí,,,,,,,,,0,200 000,,,,,200 000,1
