kniha;castka;nazev_subjektu;ICO;evidencni_cislo;datum_evidence;popis
08 - Odbor krizového řízení;9565495;KH SERVIS a.s.;45279748;90800320;2009-06-17;akce č. 40459 - Rozšíření a integrace MKS
08 - Odbor bezpečnosti a krizového řízení;9335256;KH SERVIS a.s.;45279748;120800808;2012-12-13;zajištění servisu nepřetržité provozuschopnosti MKS 4.Q.2012
08 - Odbor bezpečnosti a krizového řízení;9322604;KH SERVIS a.s.;45279748;120800361;2012-06-29;nákup služeb - zajištění servisu na zákl. sml. 2554/2003 - 2.Q.2012
08 - Odbor bezpečnosti a krizového řízení;9314246;KH SERVIS a.s.;45279748;120800600;2012-10-02;nákup služeb - zajištění servisu - smlouva 2554/2003 - III.Q 2012
08 - Odbor bezpečnosti a krizového řízení;9146959;KH SERVIS a.s.;45279748;120800177;2012-04-02;nákup služeb - zabezpečení nepřetržité provozuschopnosti MKS
08 - Odbor krizového řízení;9134256;KH SERVIS spol.s r.o.;45279748;60800491;2006-09-27;
08 - Odbor krizového řízení;9133622;KH SERVIS spol.s r.o.;45279748;20801243;2002-12-12;
08 - Odbor krizového řízení;9133500;KH SERVIS spol.s r.o.;45279748;20800500;2002-07-22;
08 - Odbor krizového řízení;8977973;KH SERVIS spol.s r.o.;45279748;30800919;2003-11-11;dílčí plnění - rozšíření Městského kamerového systému
08 - Odbor krizového řízení;8873319;KH SERVIS spol.s r.o.;45279748;30801262;2003-12-10;dílčí plnění - rozšíření MKS
08 - Odbor krizového řízení;8481477;KH SERVIS spol.s r.o.;45279748;70800326;2007-06-06;akce číslo 7000 - Rozšíření Městského
08 - Odbor krizového řízení;8352212;KH SERVIS a.s.;45279748;110800852;2011-12-16;nákup služeb- zajištění servisní smlouvy - nepřetržitá provozuschopnost MKS
08 - Odbor krizového řízení;8337762;KH SERVIS a.s.;45279748;110800346;2011-07-04;zabezpečení provozuschopnosti MKS
08 - Odbor krizového řízení;8334411;KH SERVIS a.s.;45279748;110800602;2011-10-03;nákup služeb - zajištění zabezpečení nepřetržité provozuschopnosti MKS 3.Q.2011
08 - Odbor krizového řízení;8211082;KH SERVIS a.s.;45279748;110800177;2011-03-31;Nákup služeb - zajištění zabezpečení nepřetržité provozuschopnosti MKS
08 - Odbor krizového řízení;8148168;KH SERVIS spol.s r.o.;45279748;40800480;2004-06-25;
08 - Odbor krizového řízení;8099637;KH SERVIS spol.s r.o.;45279748;40800183;2004-05-03;
08 - Odbor krizového řízení;7557252;KH SERVIS a.s.;45279748;100800511;2010-08-18;akce č. 40459 - rozšíření  a integrace  MKS
08 - Odbor krizového řízení;7552692;KH SERVIS a.s.;45279748;90800521;2009-09-03;Rozšíření a integrace MKS - akce č. 40459
08 - Odbor krizového řízení;7540762;KH SERVIS a.s.;45279748;100800601;2010-10-04;Nákup služeb - zajištění zabezpečení nepřetržité provozuschopnosti. 3.Q.2010
08 - Odbor krizového řízení;7540376;KH SERVIS a.s.;45279748;100800365;2010-07-01;nákup služeb - zabezpečení provozuschopnosti MKS - 2.Q.2010
08 - Odbor krizového řízení;7536250;KH SERVIS a.s.;45279748;100800813;2010-12-09;nákup služeb - zabezpečení provozu MKS - 4.Q.2010
08 - Odbor krizového řízení;7473468;KH SERVIS a.s.;45279748;100800166;2010-04-06;zabezpečení provozu MKS v I.Q 2010
08 - Odbor krizového řízení;7435608;KH SERVIS spol.s r.o.;45279748;70800285;2007-05-16;akce č. 7000 - Rozšíření Městského
08 - Odbor bezpečnosti a krizového řízení;7184466;KH SERVIS a.s.;45279748;120800480;2012-07-30;akce č. 40459 sml. 50543 - rozšíření a integrace MKS
08 - Odbor krizového řízení;7146278;KH SERVIS a.s.;45279748;110800881;2011-12-22;akce č. 40459 sml. 5043 - rozšíření a integrace MKS
08 - Odbor krizového řízení;7027950;KH SERVIS spol.s r.o.;45279748;50800923;2005-10-18;
08 - Odbor krizového řízení;6875128;KH SERVIS a.s.;45279748;90800475;2009-08-07;akce č. 40459 - Rozšíření a integrace MKS - sml.č. DIL/8/03/004476/2009
08 - Odbor krizového řízení;6717877;KH SERVIS spol.s r.o.;45279748;50801114;2005-12-15;
08 - Odbor krizového řízení;6667981;KH SERVIS spol.s r.o.;45279748;50800713;2005-07-20;
08 - Odbor krizového řízení;6487904;KH SERVIS spol.s r.o.;45279748;80800288;2008-06-16;akce č. 7000 - Rozšíření MKS
08 - Odbor krizového řízení;6478237;KH SERVIS a.s.;45279748;90800556;2009-10-01;nákup služeb - zabezpečení nepřetržité provozuschopnosti MKS za 3. Q 2009
08 - Odbor krizového řízení;6478037;KH SERVIS a.s.;45279748;90800759;2009-12-10;nákup služeb - zabezpečení nepřetržité provozuschopnosti MKS 4.Q.2009
08 - Odbor krizového řízení;6476801;KH SERVIS a.s.;45279748;90800352;2009-07-01;nákup služeb - zabezpečení nepřetržité provozuschopnosti MKS za 2. Q 2009
40 - Odbor informatiky;6475445;KH SERVIS spol.s r.o.;45279748;84001823;2008-12-11;DIL/40/01/001770/2008 - městský kamerový systém - modernizace grafické SW nadstavby MKS ECC CCTV
08 - Odbor krizového řízení;6399648;KH SERVIS a.s.;45279748;100800885;2010-12-28;akce č. 40459 rozšíření a integrace MKS - sml. 4740
08 - Odbor krizového řízení;6399648;KH SERVIS a.s.;45279748;110800290;2011-06-01;Vyúčtování zálohové faktury Smlouva o dílo 4740/2010 - Městský kamerový systém - rozšíření
08 - Odbor krizového řízení;6330480;KH SERVIS a.s.;45279748;110800291;2011-06-01;Vyúčtování zálohové faktury - Smlouva o dílo - Městský kamerový systém - upgrade
08 - Odbor krizového řízení;6278748;KH SERVIS a.s.;45279748;100800731;2010-11-12; akce č.40459 - Rozšíření a integrace MKS - sml. 4704/2010
08 - Odbor krizového řízení;6275690;KH SERVIS a.s.;45279748;100800886;2010-12-28;akce č. 40459 rozšíření a integrace MKS - sml. 4743
08 - Odbor krizového řízení;6089747;KH SERVIS a.s.;45279748;90800195;2009-04-01;nákup služeb - zabezpečení provozuschopnosti MKS za 1.Q 2009
08 - Odbor krizového řízení;6062181;KH SERVIS spol.s r.o.;45279748;70800822;2007-12-13;akce č. 7000 - Rozšíření MKS
08 - Odbor krizového řízení;6048770;KH SERVIS spol.s r.o.;45279748;40800646;2004-09-03;
08 - Odbor krizového řízení;5957577;KH SERVIS spol.s r.o.;45279748;30800485;2003-07-09;
08 - Odbor krizového řízení;5914181;KH SERVIS spol.s r.o.;45279748;50800999;2005-11-24;
08 - Odbor krizového řízení;5890668;KH SERVIS a.s.;45279748;100800660;2010-10-18;akce č. 40459 - rozšíření a integrace MKS - sml. 4704/2010
08 - Odbor bezpečnosti a krizového řízení;5775000;KH SERVIS a.s.;45279748;120800820;2012-12-14;investiční akce č. 40459 - 36.E.- Rámcová smlouva - integrace kamer do infrastruktury MKS a součástí je Dílčí smlouva č. INO/08/03/005142/2012
08 - Odbor krizového řízení;5336674;KH SERVIS spol.s r.o.;45279748;50800730;2005-07-28;
08 - Odbor krizového řízení;5307162;KH SERVIS a.s.;45279748;90800563;2009-10-05;Rozšíření a integrace MKS - akce č. 40459
08 - Odbor krizového řízení;5250000;KH SERVIS spol.s r.o.;45279748;30800143;2003-05-14;
08 - Odbor krizového řízení;5237302;KH SERVIS spol.s r.o.;45279748;80800381;2008-07-14;nákup služeb - zajištění nepřetržité
08 - Odbor krizového řízení;5237109;KH SERVIS spol.s r.o.;45279748;80800527;2008-10-01;nákup služeb - zabezpečení nepřetržité
08 - Odbor krizového řízení;5235951;KH SERVIS spol.s r.o.;45279748;80800783;2008-12-15;nákup služeb - zabezpečení nepřetržité
08 - Odbor krizového řízení;5235090;KH SERVIS spol.s r.o.;45279748;80800167;2008-04-02;nákup služeb - zabezpečení napřetržité
08 - Odbor krizového řízení;4998000;KH SERVIS spol.s r.o.;45279748;60800611;2006-11-27;
08 - Odbor krizového řízení;4731466;KH SERVIS spol.s r.o.;45279748;70800394;2007-07-09;nákup služeb - zabezpečení nepřetržité provozuschopnosti
08 - Odbor krizového řízení;4717417;KH SERVIS spol.s r.o.;45279748;70800817;2007-12-13;nákup služeb - zajištění nepřetržité
08 - Odbor krizového řízení;4715066;KH SERVIS spol.s r.o.;45279748;70800560;2007-10-01;nákup služeb - zabezpečení nepřetržité provozuschopnosti
08 - Odbor krizového řízení;4709901;KH SERVIS spol.s r.o.;45279748;70800197;2007-04-03;nákup služen - zabezpečení nepřetržité
08 - Odbor krizového řízení;4516764;KH SERVIS a.s.;45279748;90800789;2009-12-14;akce č. 40459 - rozšíření a integrace MKS
08 - Odbor krizového řízení;4284000;KH SERVIS spol.s r.o.;45279748;40800636;2004-08-18;
08 - Odbor krizového řízení;4276500;KH SERVIS spol.s r.o.;45279748;30801339;2003-12-16;konečné plnění - rozšíření MKS
JPD2 - individuální projekty;4266150;KH SERVIS spol.s r.o.;45279748;602100072;2006-09-27;
08 - Odbor krizového řízení;4115123;KH SERVIS spol.s r.o.;45279748;60800334;2006-06-30;
08 - Odbor krizového řízení;4070152;KH SERVIS spol.s r.o.;45279748;60800497;2006-10-04;
08 - Odbor krizového řízení;4069900;KH SERVIS spol.s r.o.;45279748;60800723;2006-12-14;
08 - Odbor krizového řízení;4057829;KH SERVIS spol.s r.o.;45279748;60800194;2006-04-07;
08 - Odbor krizového řízení;3995254;KH SERVIS a.s.;45279748;90800688;2009-12-01;akce č. 40459 - rozšíření a integrace MKS
JPD2 - individuální projekty;3979955;KH SERVIS spol.s r.o.;45279748;602100061;2006-09-01;
08 - Odbor krizového řízení;3969310;KH SERVIS spol.s r.o.;45279748;50800648;2005-07-04;
08 - Odbor krizového řízení;3847106;KH SERVIS spol.s r.o.;45279748;30800319;2003-06-05;
