Měsíc,Jakub Michálek,Mikuláš Ferjenčík,Ondřej Profant,Adam Zábranský
2014-11,2700,3150,3150,3150
2014-12,18000,4275,18000,4500
2015-01,18000,5211,18000,8270
2015-02,15300,10035,18000,14648
2015-03,11772,6980,18000,5625
2015-04,10485,5639,18000,5490
2015-05,11997,7839,13010,8190
2015-06,10872,8055,18338,8910
2015-07,900,0,4320,0
2015-08,2025,0,2025,405
2015-09,9517,10800,15390,11722
