kniha,castka,nazev_subjektu,popis,datum_evidence,datum_uhrady
40 - Odbor informatiky,153272.00,ICZ a.s.,DIL/934/2005 - údržba a rozvoj IS PKO - Fakturace období 2.pol.2009,2009-12-17,2009-12-28
40 - Odbor informatiky,41888.00,ICZ a.s.,DIL/934/2005 - údržba a rozvoj IS PKO - Zpracování změnových požadavků,2009-12-17,2009-12-28
40 - Odbor informatiky,57120.00,ICZ a.s.,DIL/934/2005 - údržba a rozvoj IS PKO Zpracování změnových požadavků -,2009-12-17,2009-12-28
40 - Odbor informatiky,128520.00,ICZ a.s.,DIL/934/2005 - údržba a rozvoj IS PKO IV.Q 2009,2009-10-05,2009-10-22
40 - Odbor informatiky,205632.00,ICZ a.s.,Sml. DIL/934/2005 - ZL  2009/01/02 - údržba a rozvoj IS PKO 06/09,2009-07-09,2009-08-18
40 - Odbor informatiky,128520.00,ICZ a.s.,Sml. DIL/934/2005 - údržba a rozvoj IS PKO  3.Q 2009,2009-07-09,2009-07-28
40 - Odbor informatiky,628320.00,ICZ a.s.,Sml. DIL/934/2005 - zakázkový list 2008/09/03 - údržba a rozvoj IS PKO  06/09,2009-07-09,2009-08-18
40 - Odbor informatiky,248948.00,ICZ a.s.,Sml. DIL/934/2005 - údržba a rozvoj IS PKO - změnové požadavky - 05/09,2009-06-16,2009-07-03
40 - Odbor informatiky,117096.00,ICZ a.s.,"Sml. DIL/934/2005 - údržba a rozvoj IS PKO ""Upozornění na nedoplatek"" - ZL č. 2009/04/02 - 04/09 -",2009-05-15,2009-06-05
40 - Odbor informatiky,163744.00,ICZ a.s.,Sml. DIL/934/2005 - úprava a rozvoj IS PKO ZL č.2009/03/02   04/09,2009-05-15,2009-06-09
40 - Odbor informatiky,60452.00,ICZ a.s.,"DIL/934/2005 - údržba a rozvoj IS PKO zpracování změnových požadavků  - Historické dluhy, sestava PO",2009-04-17,2009-05-06
40 - Odbor informatiky,184688.00,ICZ a.s.,"DIL/834/2005 - údržba a rozvoj IS PKO - zpracování změnových požadavků - Tisk složenek, zneplatnění dokumentů -",2009-04-17,2009-05-06
40 - Odbor informatiky,128520.00,"ICZ, a.s.",DIL/934/2005 - údržba a rozvoj IS PKO 2.Q 2009,2009-04-07,2009-05-06
40 - Odbor informatiky,40460.00,ICZ a.s.,DIL/934/2005 - údržba a rozvoj IS PKO - zpracování změnových požadavků 02/09,2009-03-06,2009-03-27
40 - Odbor informatiky,94486.00,ICZ a.s.,DIL/934/2005 - údržba a rozvoj IS PKO - změnové požadavky,2009-01-30,2009-03-06
40 - Odbor informatiky,128520.00,ICZ a.s.,DIL/934/2005 - údržba a rozvoj IS PKO 12/08,2009-01-21,2009-03-06
40 - Odbor informatiky,117096.00,ICZ a.s.,"DIL/40/05/000934/2005 - ZL 2008/10/04 - údržba a rozvoj IS PKO - ""upozornění na nedoplatek""",2008-11-07,2008-12-11
40 - Odbor informatiky,37128.00,ICZ a.s.,DIL/40/05/000934/2005 - údržba a rozvoj IS PKO - zpracování změnových požadavků,2008-11-07,2008-12-11
40 - Odbor informatiky,128520.00,ICZ a.s.,DIL/40/05/000934/2005 - údržba a rozvoj IS PKO 4.čtvrtletí 2008,2008-10-03,2008-10-22
40 - Odbor informatiky,100912.00,ICZ a.s.,DIL/40/05/000934/2005 - ZL-2008/06/01 - údržba a rozvoj IS PKO,2008-09-12,2008-09-25
40 - Odbor informatiky,128520.00,ICZ a.s.,DIL/40/05/000934/2005 - údržba a rozvoj IS PKO 3.Q 2008,2008-07-30,2008-08-13
40 - Odbor informatiky,153272.00,ICZ a.s.,DIL/40/05/000934/2005 - ZL 2008/05/01 - údržna a rozvoj IS PKO 1.pol. 2008,2008-07-08,2008-07-18
40 - Odbor informatiky,117096.00,ICZ a.s.,DIL/40/05/000 934/05 - ZL 2008/04/01 - údržba a rozvoj IS PKO,2008-05-30,2008-06-05
40 - Odbor informatiky,186592.00,ICZ a.s.,DIL/40/05/000934/05 - zpracování požadavků IS PKO,2008-05-16,2008-06-03
40 - Odbor informatiky,128520.00,ICZ a.s.,DIL/40/05/000934/2005 - údržba a rozvoj IS PKO 2.Q 2008,2008-04-30,2008-05-09
40 - Odbor informatiky,647360.00,ICZ a.s.,DIL/40/05/000934/2005 - zpracování změnových požadavků IS PKO,2008-04-03,2008-04-10
40 - Odbor informatiky,128520.00,ICZ a.s.,DIL/40/05/000934/2005 - údržba a rozvoj IS PKO,2008-01-11,2008-02-07
40 - Odbor informatiky,128520.00,ICZ a.s.,"Údržba a rozvoj IS PKO, 4. čtvrtletí 2007 dle DIL/40/05/000934/2005",2007-10-24,2007-10-31
40 - Odbor informatiky,396032.00,ICZ a.s.,Zprac. změn. požadavků IS PKO ZL č. 2007/09/001 a ZL č. 2007/09/002,2007-10-22,2007-10-29
40 - Odbor informatiky,239904.00,ICZ a.s.,fa č. 90011403 - ZL č.2007/06/001 - IS PKO,2007-07-11,2007-07-18
40 - Odbor informatiky,128520.00,ICZ a.s.,faktura č. 90011514 - údržba a roz. IS PKO,2007-07-11,2007-07-18
40 - Odbor informatiky,125664.00,ICZ a.s.,fa č. 90011404 - zpracování změnových požadavků IS PKO,2007-07-11,2007-07-18
40 - Odbor informatiky,207060.00,ICZ a.s.,fa č. 90011137 - zpracování změnových požadavků IS PKO,2007-06-14,2007-06-21
40 - Odbor informatiky,246092.00,ICZ a.s.,fa č. 90010589 - ZL 2007/04/001 IS PKO,2007-05-09,2007-05-14
40 - Odbor informatiky,128520.00,ICZ a.s.,fa 90010348 - údržba a rozvoj IS PKO,2007-04-16,2007-04-20
40 - Odbor informatiky,128520.00,ICZ a.s.,fa 90009265 - údržba a rozvoj IS PKO,2007-01-22,2007-01-30
40 - Odbor informatiky,95760.00,"ICZ, a.s.",faktura č. 3263/03 - Údržba a rozvoj IS PKO,2003-12-08,2003-12-11
40 - Odbor informatiky,161280.00,"ICZ, a.s.",faktura č. 3262/03 - Údržba a rozvoj IS PKO,2003-12-08,2003-12-11
40 - Odbor informatiky,210840.00,"ICZ, a.s.",faktura č. 3260/03 - Údržba a rozvoj IS PKO,2003-12-08,2003-12-11
40 - Odbor informatiky,120960.00,"ICZ, a.s.",faktura č. 2870/03 - Údržba a rozvoj IS PKO,2003-11-03,2003-11-05
